GPA,Course_Scores,Aptitude_Score,Attendance,Supervisor_Evaluation,Report_Quality,Activity_Log_Frequency,Completion_Time,Feedback_Rating,Performance,Intern_ID,Performance_Score
3.61,96.6,93.0,97.72,4.85,9.7,12,1.99,2.94,Excellent,INT2788,100.0
1.07,3.7,41.5,84.29,6.55,2.37,10,6.37,3.62,Average,INT2789,56.38
0.74,43.1,10.8,73.8,3.1,1.5,6,6.82,2.24,Average,INT2790,57.53
1.3,40.1,53.6,60.92,0.0,7.13,7,5.31,1.0,Fair,INT2791,52.18
0.23,20.2,16.2,86.39,0.0,1.01,6,6.59,1.0,Poor,INT2792,39.81
2.29,74.5,70.6,70.7,9.92,4.17,9,4.87,4.97,Good,INT2793,72.01
3.31,67.8,71.5,45.55,4.55,3.82,15,2.96,2.82,Excellent,INT2794,94.5
3.18,86.0,73.3,92.31,6.12,6.78,20,3.15,3.45,Good,INT2795,72.72
3.71,68.4,92.3,95.27,10.0,9.37,13,4.62,5.0,Excellent,INT2796,93.4
3.42,89.0,97.9,51.04,7.5,8.23,11,1.73,4.0,Excellent,INT2797,93.41
0.34,23.2,70.3,18.01,8.8,0.97,6,4.48,4.52,Average,INT2798,55.3
0.99,57.5,83.5,64.24,8.75,4.44,17,3.92,4.5,Average,INT2799,67.36
3.65,21.0,62.2,34.84,6.35,2.78,11,2.05,3.54,Average,INT2800,67.58
2.07,33.1,18.2,50.49,9.57,1.99,8,5.46,4.83,Fair,INT2801,52.46
1.85,58.8,42.4,90.25,0.0,1.48,7,6.56,1.0,Fair,INT2802,41.79
1.36,26.4,28.9,75.87,1.98,8.33,7,7.0,1.79,Average,INT2803,60.35
0.24,9.0,7.7,3.58,0.0,1.0,7,6.63,1.0,Poor,INT2804,37.29
1.79,79.1,91.6,95.73,5.68,2.21,19,4.18,3.27,Good,INT2805,81.55
0.78,37.6,59.9,66.83,10.0,4.65,8,6.69,5.0,Average,INT2806,63.8
1.05,71.1,45.8,75.16,4.38,3.77,12,5.92,2.75,Fair,INT2807,47.7
2.32,22.8,42.1,64.53,2.72,6.0,10,3.92,2.09,Good,INT2808,70.37
2.44,40.1,41.1,65.26,2.32,3.92,12,3.54,1.93,Average,INT2809,61.4
0.65,15.7,4.8,68.83,9.98,2.94,12,5.71,4.99,Average,INT2810,67.77
1.01,35.3,11.4,72.45,2.38,7.56,7,2.13,1.95,Average,INT2811,61.48
2.09,37.1,55.0,58.18,9.92,1.68,11,4.44,4.97,Average,INT2812,62.53
0.45,31.3,9.2,54.73,2.48,3.49,9,5.15,1.99,Fair,INT2813,49.43
1.45,22.9,34.5,73.65,2.0,3.74,9,1.87,1.8,Average,INT2814,63.05
1.04,12.3,7.6,73.25,0.0,1.44,12,4.42,1.0,Fair,INT2815,48.32
0.62,19.7,7.8,82.67,4.68,0.75,5,5.78,2.87,Fair,INT2816,43.5
1.96,76.0,44.4,73.55,7.43,7.53,17,3.54,3.97,Good,INT2817,75.18
3.32,93.1,94.2,5.19,10.0,9.2,12,1.0,5.0,Excellent,INT2818,91.86
3.0,96.4,92.7,8.58,3.77,8.86,13,1.01,2.51,Good,INT2819,84.16
2.33,85.7,57.5,95.34,2.62,8.93,10,2.91,2.05,Good,INT2820,80.13
0.03,6.4,7.3,57.97,0.97,0.54,6,3.92,1.39,Poor,INT2821,30.92
2.69,80.6,29.0,84.49,9.5,4.22,14,1.96,4.8,Good,INT2822,76.86
1.85,66.5,34.1,79.69,0.95,0.85,16,5.11,1.38,Fair,INT2823,50.52
1.2,83.1,79.8,87.43,5.6,8.7,11,2.74,3.24,Good,INT2824,81.06
3.39,56.2,75.5,57.53,10.0,8.24,14,2.58,5.0,Excellent,INT2825,87.95
1.52,42.9,61.5,97.08,3.95,2.68,10,5.84,2.58,Fair,INT2826,52.21
1.82,83.3,89.4,81.05,2.65,9.59,9,5.52,2.06,Good,INT2827,74.19
2.62,64.8,72.9,66.83,4.22,4.35,9,2.02,2.69,Average,INT2828,65.38
1.88,3.8,17.1,62.33,1.25,0.18,11,3.37,1.5,Average,INT2829,58.41
3.55,47.1,66.7,3.91,0.0,4.04,11,1.54,1.0,Good,INT2830,70.49
0.42,31.6,12.2,52.84,3.02,2.81,15,3.9,2.21,Average,INT2831,68.53
1.61,8.6,9.7,69.87,3.73,3.14,5,5.43,2.49,Fair,INT2832,46.72
2.18,60.5,85.7,69.2,3.22,8.97,12,1.35,2.29,Good,INT2833,72.16
2.66,68.5,84.8,82.89,6.18,7.12,12,3.2,3.47,Good,INT2834,76.31
0.77,21.2,13.6,54.67,0.5,0.36,8,3.33,1.2,Fair,INT2835,52.94
1.71,46.4,46.8,50.03,10.0,9.29,8,6.97,5.0,Average,INT2836,65.19
1.36,22.6,13.3,52.14,10.0,3.6,14,6.92,5.0,Average,INT2837,61.13
2.6,70.2,36.1,0.0,3.5,8.57,13,3.92,2.4,Good,INT2838,74.54
0.73,40.2,37.1,50.73,1.43,4.11,10,5.87,1.57,Fair,INT2839,45.0
1.17,11.5,24.4,54.92,4.7,3.51,8,3.45,2.88,Average,INT2840,57.83
2.32,62.2,27.3,98.59,6.05,7.34,17,3.47,3.42,Excellent,INT2841,88.06
2.73,27.4,89.6,93.42,0.73,3.06,7,5.45,1.29,Average,INT2842,63.92
1.72,52.6,39.7,45.36,8.55,1.56,17,6.8,4.42,Average,INT2843,57.29
0.27,28.9,10.2,90.95,0.0,2.26,17,7.0,1.0,Fair,INT2844,46.14
2.85,48.9,53.7,94.38,4.0,2.01,6,3.97,2.6,Good,INT2845,72.96
0.83,23.2,25.9,62.97,4.78,6.4,14,3.23,2.91,Average,INT2846,59.49
2.82,72.7,74.2,92.47,6.92,6.8,10,6.1,3.77,Good,INT2847,82.09
3.43,79.5,63.1,59.74,8.35,9.57,16,2.66,4.34,Excellent,INT2848,87.84
1.19,17.6,35.5,70.67,0.0,1.85,9,3.92,1.0,Fair,INT2849,45.93
3.36,47.8,82.2,77.91,2.68,4.89,13,3.55,2.07,Average,INT2850,68.69
0.75,23.9,8.0,85.69,1.75,3.76,10,5.19,1.7,Fair,INT2851,52.31
3.14,53.6,38.7,51.51,6.1,5.19,14,2.66,3.44,Average,INT2852,62.03
3.62,98.2,93.6,64.53,10.0,9.49,13,2.61,5.0,Excellent,INT2853,87.07
2.18,34.6,30.3,80.43,2.77,7.66,8,6.87,2.11,Average,INT2854,62.11
2.34,56.7,47.3,46.24,5.35,7.47,9,1.93,3.14,Good,INT2855,73.76
3.39,73.3,49.3,50.29,0.0,8.71,16,3.63,1.0,Average,INT2856,64.08
3.72,96.0,75.8,82.58,5.5,9.3,14,2.07,3.2,Excellent,INT2857,95.11
2.65,54.2,58.4,2.4,3.75,6.06,9,1.29,2.5,Good,INT2858,81.7
1.55,81.0,21.7,2.8,2.18,7.77,7,1.43,1.87,Good,INT2859,72.06
1.52,36.6,53.6,81.45,4.18,5.74,12,1.85,2.67,Average,INT2860,68.49
0.28,68.8,40.8,72.52,5.35,0.89,9,5.79,3.14,Fair,INT2861,52.97
2.76,87.6,77.5,58.45,7.1,7.5,11,2.5,3.84,Excellent,INT2862,87.14
0.12,6.6,44.2,66.32,4.7,1.81,11,6.97,2.88,Fair,INT2863,52.25
1.34,61.1,51.1,65.15,0.0,8.53,17,4.87,1.0,Fair,INT2864,54.44
2.83,62.7,20.7,55.41,4.68,3.31,9,4.03,2.87,Average,INT2865,63.63
1.33,49.6,59.0,77.35,10.0,4.74,12,4.36,5.0,Good,INT2866,75.87
3.36,47.1,60.3,88.18,5.4,4.46,7,3.97,3.16,Average,INT2867,63.07
2.05,60.6,40.6,78.77,2.0,3.45,12,5.46,1.8,Fair,INT2868,51.85
2.7,58.8,79.8,91.31,5.35,3.86,24,2.57,3.14,Good,INT2869,77.94
1.68,67.3,36.0,56.38,8.65,8.49,14,3.29,4.46,Good,INT2870,77.64
0.62,7.6,15.1,32.36,9.12,0.71,15,6.22,4.65,Average,INT2871,58.32
3.47,87.0,77.1,80.47,7.5,5.59,17,6.2,4.0,Good,INT2872,75.5
1.78,6.3,43.4,83.8,1.2,1.32,7,6.3,1.48,Fair,INT2873,53.62
0.72,19.3,37.2,84.79,2.75,3.02,8,3.24,2.1,Average,INT2874,57.86
1.75,76.7,85.4,86.45,10.0,5.91,13,5.21,5.0,Good,INT2875,77.71
0.49,26.3,21.0,82.57,3.85,1.17,5,3.83,2.54,Average,INT2876,69.41
0.84,14.7,8.9,54.71,5.72,6.19,7,3.7,3.29,Good,INT2877,70.18
3.48,42.4,58.4,47.85,6.18,4.67,12,2.18,3.47,Good,INT2878,82.38
2.84,50.2,55.9,86.24,9.48,4.11,11,4.33,4.79,Average,INT2879,66.29
2.58,40.1,77.2,4.06,1.55,8.39,11,2.22,1.62,Good,INT2880,70.54
2.88,27.6,60.3,84.67,2.55,5.93,17,3.48,2.02,Good,INT2881,82.27
3.48,69.9,34.2,84.34,10.0,5.87,4,6.18,5.0,Average,INT2882,67.96
2.44,58.3,53.3,75.74,9.52,6.85,25,2.39,4.81,Good,INT2883,80.41
3.4,89.8,68.7,93.4,2.38,8.42,13,1.85,1.95,Good,INT2884,82.51
2.82,55.4,15.3,74.6,0.0,5.87,17,1.28,1.0,Good,INT2885,74.17
0.39,17.2,14.6,88.95,2.85,4.02,19,6.31,2.14,Fair,INT2886,45.5
1.45,51.6,51.6,80.63,0.9,3.52,12,3.82,1.36,Average,INT2887,64.11
0.63,11.1,27.8,53.95,2.6,5.83,7,3.92,2.04,Fair,INT2888,52.48
3.51,45.1,55.1,66.83,7.02,9.03,11,6.02,3.81,Good,INT2889,80.39
3.41,44.3,32.5,63.49,9.82,5.72,8,5.51,4.93,Good,INT2890,70.82
2.63,34.3,45.4,88.78,4.1,4.27,8,3.34,2.64,Good,INT2891,81.52
1.12,51.9,23.4,56.23,2.68,3.37,9,3.92,2.07,Fair,INT2892,54.95
0.62,20.5,45.9,82.69,0.0,2.37,12,6.03,1.0,Fair,INT2893,52.65
2.6,29.1,62.3,64.79,7.5,9.11,15,5.38,4.0,Good,INT2894,81.31
1.54,36.9,97.1,88.01,0.0,4.8,12,2.4,1.0,Good,INT2895,73.19
0.18,7.1,5.9,62.02,0.57,2.15,13,6.57,1.23,Poor,INT2896,36.37
2.81,49.9,70.7,84.2,4.45,6.35,11,3.87,2.78,Average,INT2897,67.09
3.17,87.6,74.2,64.75,6.25,8.32,14,2.9,3.5,Excellent,INT2898,90.75
2.43,75.4,53.1,13.51,7.5,5.48,8,3.25,4.0,Good,INT2899,82.67
1.85,91.8,85.0,0.53,2.1,4.4,11,1.63,1.84,Average,INT2900,61.95
2.75,89.3,87.8,24.71,10.0,8.66,5,1.59,5.0,Excellent,INT2901,86.87
0.4,3.7,3.3,82.96,4.68,0.87,5,5.42,2.87,Fair,INT2902,53.83
3.23,57.8,37.3,7.96,2.0,8.37,16,1.42,1.8,Good,INT2903,70.28
1.59,69.0,69.2,64.45,7.5,9.25,17,3.92,4.0,Excellent,INT2904,88.07
3.53,75.2,47.8,61.8,10.0,4.86,15,3.83,5.0,Good,INT2905,79.04
3.32,59.7,38.6,90.46,3.45,9.27,12,1.25,2.38,Excellent,INT2906,87.63
2.29,31.8,48.0,67.68,5.25,6.94,12,7.0,3.1,Average,INT2907,55.64
3.69,60.6,36.4,95.02,5.62,9.27,13,2.51,3.25,Excellent,INT2908,93.04
2.39,58.4,72.8,89.37,5.38,5.75,21,3.0,3.15,Excellent,INT2909,91.16
2.65,68.9,88.3,66.83,3.9,7.75,8,3.92,2.56,Good,INT2910,84.29
1.44,50.3,77.8,70.36,3.02,5.51,4,2.0,2.21,Good,INT2911,76.4
3.84,86.8,93.1,0.0,7.18,9.94,14,1.03,3.87,Excellent,INT2912,100.0
3.44,88.8,93.3,89.26,7.5,7.46,17,5.61,4.0,Good,INT2913,84.29
0.05,5.0,6.3,24.08,3.18,0.27,6,6.94,2.27,Poor,INT2914,33.01
3.64,53.7,91.4,66.83,3.5,6.11,18,2.3,2.4,Excellent,INT2915,89.34
0.72,64.3,42.5,80.12,9.0,3.99,15,4.5,4.6,Average,INT2916,61.6
1.85,19.9,86.2,64.5,0.0,3.76,13,5.01,1.0,Average,INT2917,58.52
3.61,91.8,72.4,57.48,8.12,8.08,18,5.71,4.25,Good,INT2918,70.23
0.46,47.6,54.9,71.38,2.55,0.42,9,3.38,2.02,Fair,INT2919,49.59
2.13,67.7,90.1,66.83,0.08,5.33,9,2.44,1.03,Good,INT2920,72.99
2.95,65.1,83.4,91.47,8.2,4.05,19,2.88,4.28,Excellent,INT2921,95.69
0.13,22.5,48.3,94.94,1.62,6.96,9,4.96,1.65,Average,INT2922,57.42
0.18,8.4,12.6,53.41,1.78,1.39,4,6.18,1.71,Fair,INT2923,48.15
3.58,72.7,51.9,65.1,7.5,8.01,9,2.46,4.0,Excellent,INT2924,89.15
0.86,66.1,50.5,0.0,6.28,1.43,9,3.12,3.51,Average,INT2925,62.27
0.83,53.1,46.2,38.15,5.58,5.81,16,6.42,3.23,Fair,INT2926,48.35
0.28,62.6,10.0,32.97,6.4,7.4,10,6.29,3.56,Fair,INT2927,54.79
0.29,30.4,27.1,74.81,4.7,2.83,13,6.95,2.88,Fair,INT2928,50.58
2.36,14.2,59.3,83.16,10.0,2.45,9,6.03,5.0,Average,INT2929,68.28
3.43,58.8,93.3,74.87,7.5,8.43,17,3.0,4.0,Excellent,INT2930,87.28
0.64,40.6,59.9,83.29,6.52,5.73,12,4.9,3.61,Average,INT2931,66.76
1.94,32.4,22.2,53.32,5.68,7.92,9,4.97,3.27,Average,INT2932,68.25
3.59,90.9,65.5,93.8,4.68,9.35,17,1.0,2.87,Excellent,INT2933,89.25
1.63,80.9,54.8,96.95,7.38,8.32,17,4.74,3.95,Average,INT2934,69.48
0.46,58.0,79.2,80.9,8.57,2.86,10,5.73,4.43,Good,INT2935,70.18
2.36,72.5,43.8,66.83,6.68,7.98,8,1.88,3.67,Excellent,INT2936,95.64
0.85,2.9,41.8,0.0,5.07,1.08,4,6.13,3.03,Average,INT2937,56.02
2.39,76.9,31.0,57.32,0.0,0.67,10,4.14,1.0,Average,INT2938,55.06
0.74,2.6,21.9,55.96,0.0,0.74,6,6.89,1.0,Poor,INT2939,39.56
0.69,42.6,23.8,2.29,4.85,3.32,10,1.0,2.94,Good,INT2940,71.28
2.67,77.0,57.8,66.19,4.82,6.96,15,2.34,2.93,Average,INT2941,64.26
2.83,79.9,42.0,79.28,4.68,8.65,13,4.89,2.87,Good,INT2942,73.73
1.03,10.3,68.7,43.71,0.0,3.33,6,2.66,1.0,Fair,INT2943,54.14
2.28,33.9,40.7,81.87,2.55,9.2,12,4.8,2.02,Good,INT2944,76.54
0.33,20.2,3.9,68.37,6.65,1.01,7,5.46,3.66,Fair,INT2945,43.63
0.6,80.2,27.1,93.04,2.6,2.5,15,1.35,2.04,Good,INT2946,79.55
3.64,51.0,71.8,81.69,2.77,8.06,17,4.26,2.11,Good,INT2947,73.05
1.51,41.7,23.9,37.39,0.0,2.19,14,3.74,1.0,Fair,INT2948,53.58
2.41,52.0,89.5,66.81,7.5,6.24,11,3.56,4.0,Excellent,INT2949,86.48
1.03,32.7,18.7,92.37,0.0,1.62,13,6.37,1.0,Poor,INT2950,38.53
0.43,8.1,47.2,69.32,1.95,0.88,6,5.86,1.78,Fair,INT2951,53.17
2.82,77.1,64.5,76.79,3.5,6.11,12,4.98,2.4,Good,INT2952,79.32
1.48,51.4,77.9,82.45,10.0,8.41,8,5.43,5.0,Good,INT2953,72.23
0.57,28.5,5.1,67.39,2.42,1.24,8,3.37,1.97,Average,INT2954,55.36
0.15,11.5,2.4,66.83,4.68,0.73,8,6.51,2.87,Fair,INT2955,49.35
0.93,31.2,25.4,35.46,10.0,8.03,14,5.0,5.0,Good,INT2956,72.62
3.54,78.3,39.9,32.35,10.0,6.52,7,5.75,5.0,Good,INT2957,77.8
2.08,91.4,23.8,64.21,10.0,2.67,15,5.74,5.0,Good,INT2958,70.3
1.2,52.4,46.9,53.1,4.68,1.22,11,2.97,2.87,Average,INT2959,56.62
3.67,82.6,76.2,65.2,7.5,8.23,17,5.51,4.0,Good,INT2960,77.5
0.44,10.0,25.6,42.9,0.0,0.47,13,1.76,1.0,Average,INT2961,56.79
1.22,27.2,56.2,61.22,2.28,1.76,10,2.77,1.91,Average,INT2962,62.41
3.53,90.5,39.3,50.68,10.0,7.68,18,2.61,5.0,Excellent,INT2963,89.46
0.12,5.9,25.5,89.37,4.0,3.2,5,6.89,2.6,Fair,INT2964,44.77
0.48,12.0,4.2,52.27,4.68,3.31,14,6.63,2.87,Poor,INT2965,37.32
0.19,33.5,7.3,55.33,0.0,1.88,12,4.74,1.0,Fair,INT2966,47.76
3.08,63.5,15.2,90.73,8.25,5.98,10,5.32,4.3,Average,INT2967,63.21
2.98,36.7,76.8,44.05,10.0,4.9,14,4.26,5.0,Good,INT2968,81.05
2.78,93.0,18.3,59.55,8.25,6.89,11,6.52,4.3,Average,INT2969,58.55
0.43,76.0,13.4,70.24,0.0,7.64,25,3.81,1.0,Average,INT2970,58.82
2.77,78.9,37.7,76.93,4.53,7.23,6,3.68,2.81,Good,INT2971,72.42
3.11,96.7,85.1,92.18,10.0,8.37,15,1.5,5.0,Excellent,INT2972,100.0
1.62,35.7,38.6,5.48,3.15,3.83,3,3.92,2.26,Average,INT2973,63.19
0.11,35.7,42.8,79.84,5.22,1.71,6,5.16,3.09,Fair,INT2974,52.31
2.54,79.2,81.3,85.85,4.82,9.1,12,3.19,2.93,Excellent,INT2975,93.63
3.87,68.8,95.2,2.32,6.57,8.0,14,1.07,3.63,Excellent,INT2976,97.99
0.49,62.1,18.7,90.36,4.62,1.55,5,5.83,2.85,Fair,INT2977,41.9
1.39,15.5,21.5,9.01,4.35,5.7,9,1.0,2.74,Average,INT2978,64.42
0.36,25.7,12.4,49.91,4.68,2.66,16,4.83,2.87,Fair,INT2979,51.82
2.21,79.6,93.3,88.16,10.0,4.98,17,6.62,5.0,Average,INT2980,66.71
1.53,48.0,69.3,86.49,4.68,3.22,15,3.95,2.87,Average,INT2981,59.45
3.04,77.6,89.2,91.01,0.13,6.92,9,2.04,1.05,Good,INT2982,76.33
2.35,26.4,55.0,95.19,0.0,2.65,15,5.47,1.0,Fair,INT2983,54.93
1.91,55.3,64.0,54.92,10.0,3.56,9,5.69,5.0,Average,INT2984,66.95
0.69,26.9,27.6,16.55,2.95,4.41,10,4.66,2.18,Average,INT2985,55.4
1.11,56.7,57.4,5.82,6.57,6.13,7,6.73,3.63,Good,INT2986,75.32
3.45,86.8,97.4,62.62,10.0,5.84,9,1.0,5.0,Excellent,INT2987,95.88
1.16,9.3,20.2,52.93,2.05,0.92,8,4.52,1.82,Fair,INT2988,41.19
0.96,78.1,40.1,70.06,4.15,6.14,7,4.99,2.66,Fair,INT2989,54.88
0.63,35.6,5.2,90.99,2.25,2.13,10,6.25,1.9,Fair,INT2990,40.2
3.57,86.6,47.9,56.33,6.57,7.8,13,2.15,3.63,Excellent,INT2991,88.04
3.54,49.6,92.7,83.59,9.18,8.5,8,5.67,4.67,Average,INT2992,64.67
0.54,5.6,27.8,50.18,2.75,1.23,7,4.77,2.1,Fair,INT2993,40.77
2.74,65.3,39.2,66.83,5.1,1.94,15,3.72,3.04,Fair,INT2994,46.19
2.27,39.6,46.2,67.54,7.82,1.99,7,2.12,4.13,Average,INT2995,67.49
2.65,58.7,15.0,14.64,8.9,5.89,19,6.66,4.56,Average,INT2996,69.53
2.38,37.8,57.4,59.64,8.93,9.47,21,1.9,4.57,Excellent,INT2997,89.92
3.74,98.4,67.7,93.2,3.68,9.69,21,2.46,2.47,Excellent,INT2998,89.61
2.69,84.9,60.3,87.78,3.18,6.09,17,3.01,2.27,Good,INT2999,74.08
0.35,6.6,17.2,62.12,0.0,0.57,8,6.11,1.0,Poor,INT3000,31.26
3.67,88.2,86.8,0.0,7.5,8.31,14,4.73,4.0,Good,INT3001,81.74
0.45,22.5,49.2,59.21,4.18,0.18,9,5.76,2.67,Poor,INT3002,32.62
3.91,79.7,94.0,64.06,10.0,9.39,18,2.93,5.0,Excellent,INT3003,93.93
0.39,53.1,1.6,75.8,4.68,2.75,4,4.42,2.87,Average,INT3004,55.97
1.28,28.4,70.7,48.04,2.1,5.9,8,4.78,1.84,Fair,INT3005,48.47
2.35,22.9,20.1,54.73,6.4,6.42,4,5.92,3.56,Average,INT3006,63.61
1.66,12.3,35.4,64.83,10.0,7.43,10,6.08,5.0,Average,INT3007,69.64
3.82,97.4,92.4,8.34,4.65,9.87,10,1.42,2.86,Excellent,INT3008,100.0
1.0,20.2,23.8,71.46,0.0,4.53,7,3.92,1.0,Fair,INT3009,45.81
1.82,74.1,63.8,96.94,1.3,6.45,20,1.1,1.52,Good,INT3010,70.84
3.59,86.2,84.5,99.57,5.15,8.96,15,4.09,3.06,Good,INT3011,77.3
3.1,47.1,34.1,76.33,3.87,3.13,7,2.62,2.55,Good,INT3012,83.91
1.42,74.1,96.6,64.4,2.4,6.62,5,3.15,1.96,Good,INT3013,79.25
2.27,41.5,64.3,89.54,5.8,6.04,11,2.63,3.32,Average,INT3014,64.72
2.17,76.1,75.4,57.97,7.5,7.1,10,4.45,4.0,Good,INT3015,78.23
1.71,92.2,89.1,62.6,4.68,1.89,19,3.21,2.87,Good,INT3016,73.43
2.55,79.3,32.1,89.24,10.0,8.87,16,5.31,5.0,Good,INT3017,79.82
1.98,81.8,81.4,71.68,0.4,7.28,15,3.26,1.16,Average,INT3018,68.55
2.53,95.9,44.3,7.13,4.68,8.95,15,1.78,2.87,Good,INT3019,71.35
1.8,53.8,55.8,5.84,7.28,6.25,10,6.12,3.91,Good,INT3020,79.79
1.79,64.6,71.1,64.88,9.82,8.64,9,3.16,4.93,Good,INT3021,84.38
3.53,66.4,20.7,66.83,10.0,9.26,18,3.37,5.0,Good,INT3022,77.06
2.27,60.4,31.3,63.85,10.0,5.49,12,5.52,5.0,Good,INT3023,78.06
3.51,10.7,84.3,61.06,6.25,3.59,16,3.23,3.5,Good,INT3024,72.5
2.57,80.4,57.0,68.99,7.5,5.48,15,1.0,4.0,Good,INT3025,78.52
0.55,12.1,82.6,88.17,0.0,1.57,6,3.35,1.0,Average,INT3026,56.84
0.34,38.7,55.4,85.69,2.4,6.0,5,6.2,1.96,Fair,INT3027,41.58
1.27,15.7,15.3,48.63,2.0,1.69,9,5.06,1.8,Fair,INT3028,53.31
0.23,11.1,8.9,25.23,5.85,1.48,6,5.26,3.34,Fair,INT3029,40.69
0.4,28.6,73.6,22.15,2.05,0.99,4,5.08,1.82,Fair,INT3030,52.49
2.22,70.8,86.6,61.16,5.05,5.79,11,1.86,3.02,Average,INT3031,60.96
1.61,76.6,41.7,30.97,5.6,3.94,9,3.64,3.24,Average,INT3032,63.14
0.97,16.8,57.0,57.32,8.2,4.24,6,5.19,4.28,Fair,INT3033,53.35
2.73,27.5,74.4,70.52,0.5,3.19,12,2.06,1.2,Average,INT3034,64.01
1.83,63.4,72.8,53.76,4.42,7.22,11,2.85,2.77,Fair,INT3035,53.83
3.92,63.4,81.5,49.04,8.75,9.22,11,2.26,4.5,Excellent,INT3036,87.23
1.02,24.6,41.4,60.52,4.88,4.93,11,3.28,2.95,Good,INT3037,73.38
0.46,33.5,9.7,78.71,0.0,5.58,7,7.0,1.0,Fair,INT3038,50.55
2.09,82.0,23.7,54.49,5.85,8.09,12,1.39,3.34,Good,INT3039,78.61
3.8,60.9,94.6,94.5,7.78,7.92,6,4.35,4.11,Good,INT3040,81.21
3.89,89.9,83.4,98.28,1.78,6.88,9,1.86,1.71,Excellent,INT3041,85.32
1.82,16.4,8.7,60.12,8.4,3.98,6,6.98,4.36,Fair,INT3042,50.27
3.02,91.7,93.2,85.23,4.68,8.51,7,1.36,2.87,Excellent,INT3043,100.0
2.79,91.7,65.8,92.1,10.0,7.96,17,3.46,5.0,Excellent,INT3044,91.43
1.0,35.8,26.8,76.99,8.25,4.38,14,5.89,4.3,Average,INT3045,61.38
0.99,19.8,87.5,66.17,5.95,4.01,7,5.36,3.38,Average,INT3046,65.03
2.89,14.1,14.5,36.56,5.78,2.29,9,3.09,3.31,Average,INT3047,58.83
2.42,81.9,68.7,12.65,3.1,2.83,17,3.57,2.24,Good,INT3048,72.71
3.55,69.5,75.3,70.03,4.68,5.59,14,3.05,2.87,Excellent,INT3049,90.81
3.66,86.9,63.3,73.23,2.68,8.61,7,2.81,2.07,Good,INT3050,80.13
3.2,96.8,67.9,87.19,7.5,5.49,15,2.26,4.0,Excellent,INT3051,100.0
0.89,15.7,27.0,62.07,3.58,3.89,8,3.69,2.43,Average,INT3052,57.05
2.4,75.0,54.5,66.83,7.5,8.55,16,2.29,4.0,Excellent,INT3053,93.89
2.56,85.3,79.2,0.5,3.3,6.12,13,2.4,2.32,Good,INT3054,79.92
0.26,6.0,14.3,57.01,4.42,2.87,3,3.92,2.77,Fair,INT3055,41.86
0.49,10.2,18.6,67.92,5.38,1.79,8,7.0,3.15,Average,INT3056,57.31
1.32,25.7,15.4,58.74,4.75,3.99,7,4.59,2.9,Average,INT3057,58.59
1.32,61.2,69.7,78.36,4.68,0.58,16,1.06,2.87,Average,INT3058,58.95
2.77,92.6,83.7,60.85,7.7,2.1,16,1.83,4.08,Excellent,INT3059,86.84
0.51,10.5,7.0,56.14,2.25,0.92,11,6.7,1.9,Poor,INT3060,39.13
3.07,74.8,53.1,75.91,7.48,9.02,13,2.72,3.99,Excellent,INT3061,86.16
2.9,80.1,14.4,77.38,6.88,7.82,11,1.46,3.75,Good,INT3062,71.26
1.99,18.1,80.2,66.72,0.0,4.96,17,4.46,1.0,Fair,INT3063,51.5
2.79,80.3,88.5,81.52,4.75,8.02,14,4.77,2.9,Good,INT3064,84.03
0.58,26.9,57.3,24.24,3.12,4.58,18,4.99,2.25,Average,INT3065,55.54
2.01,81.7,51.3,1.98,1.02,5.19,4,2.57,1.41,Good,INT3066,70.89
3.86,94.7,90.2,66.83,10.0,8.88,18,1.49,5.0,Excellent,INT3067,88.42
1.02,13.4,57.4,53.09,0.6,1.14,8,6.61,1.24,Fair,INT3068,50.49
3.56,95.3,92.2,59.43,7.5,7.65,13,2.59,4.0,Excellent,INT3069,95.08
2.01,21.2,25.7,57.11,6.25,2.18,11,4.86,3.5,Average,INT3070,62.95
1.4,38.5,22.6,83.7,0.0,6.46,13,5.49,1.0,Average,INT3071,58.66
2.76,75.3,71.4,69.56,10.0,4.47,9,4.26,5.0,Good,INT3072,73.79
0.44,15.1,34.5,69.99,1.3,3.22,6,2.57,1.52,Average,INT3073,58.57
3.66,78.9,63.7,88.24,7.45,5.24,12,2.93,3.98,Good,INT3074,78.99
2.92,91.3,71.8,74.97,9.0,6.92,12,4.27,4.6,Good,INT3075,79.32
2.53,70.3,30.4,86.28,1.25,3.98,11,6.33,1.5,Average,INT3076,64.38
1.02,54.3,68.2,75.26,10.0,3.13,9,7.0,5.0,Average,INT3077,66.1
1.9,56.6,20.1,79.65,8.52,4.13,13,1.66,4.41,Good,INT3078,83.11
3.63,45.9,40.9,88.04,10.0,1.59,14,1.62,5.0,Excellent,INT3079,91.67
3.11,93.0,42.7,80.37,7.5,8.63,17,6.49,4.0,Good,INT3080,75.04
2.82,36.0,24.5,60.59,4.73,2.33,10,5.74,2.89,Average,INT3081,55.1
0.46,18.4,24.7,89.46,2.0,0.71,8,6.15,1.8,Fair,INT3082,51.55
3.02,71.1,39.1,97.45,4.35,9.34,12,2.44,2.74,Good,INT3083,78.41
3.2,51.6,67.6,44.37,6.52,2.53,4,4.81,3.61,Average,INT3084,67.28
0.17,30.6,54.4,78.86,6.28,1.08,10,5.21,3.51,Fair,INT3085,47.23
